Accession Number,Date Received,ISBN,Author,Title of Book,Edition,Volume,Pages,Publisher,Place of Publication,Year,Program,Location,Call number from Sophia
1,08/22/17,9780735699236,"Lambert, Joan & Frye, Curtis",Microsoft Office 2013 Step by Step,,,539,Microsoft Press,United States,2015,BSCS,Circulation,005.5 L17 2015 c1
2,08/22/17,9780735699236,"Lambert, Joan & Frye, Curtis",Microsoft Office 2013 Step by Step,,,539,Microsoft Press,United States,2015,BSCS,Circulation,005.5 L17 2015 c2
3,08/22/17,9780735699236,"Lambert, Joan & Frye, Curtis",Microsoft Office 2013 Step by Step,,,539,Microsoft Press,United States,2015,BSCS,Circulation,005.5 L17 2015 c3
4,08/22/17,9780735699236,"Lambert, Joan & Frye, Curtis",Microsoft Office 2013 Step by Step,,,539,Microsoft Press,United States,2015,BSCS,Circulation,005.5 L17 2015 c4
5,08/22/17,9781460938386,"Blower, David","Information Processing: Boolean Algebra, Classical Logic, Cellular Automata, and Probability Manipumaltions",,1,460,Third Millennium Inferencing,United States,2011,BSCS,Circulation,QA 10.3 B65 2011 v.1
6,08/22/17,9781460938386,"Blower, David","Information Processing: Boolean Algebra, Classical Logic, Cellular Automata, and Probability Manipumaltions",,1,460,Third Millennium Inferencing,United States,2011,BSCS,Circulation,QA 10.3 B65 2011 v.2
7,08/22/17,9781564843517,"Solomon, Gwen & Schrum, Lynne",Web 2.0 How-To for Educators,2nd,,360,International Society for Technology in Education,United States,2014,BSCS,Circulation,LB 1044.87 S65 2014 c1
8,08/22/17,9781564843517,"Solomon, Gwen & Schrum, Lynne",Web 2.0 How-To for Educators,2nd,,360,International Society for Technology in Education,United States,2014,BSCS,Circulation,LB 1044.87 S65 2014 c2
9,08/22/17,9781564843517,"Solomon, Gwen & Schrum, Lynne",Web 2.0 How-To for Educators,2nd,,360,International Society for Technology in Education,United States,2014,BSCS,Circulation,LB 1044.87 S65 2014 c3
10,08/22/17,9781564843517,"Solomon, Gwen & Schrum, Lynne",Web 2.0 How-To for Educators,2nd,,360,International Society for Technology in Education,United States,2014,BSCS,Circulation,LB 1044.87 S65 2014 c4
11,08/22/17,9780132847377,"Weiss, Mark Allen",Data Structure and Algorithm Analysis in C++,4th,,614,Addison-Wesley,United States,2014,BSCS,Circulation,QA 76.73 C153 W42 2014
12,08/22/17,9781482229394,"Marschner, Steve & Shirley, Peter",Fundamentals of Computer Graphics,4th,,699,CRC Press,United States,2016,BSCS,Circulation,T 385 S43 2016
13,08/22/17,9781539490197,"Rawen, Marc",Programming: Learn the Fundamentals of Computer Programming Languages,2nd,,118,CreateSpace,United States,2017,BSCS,Circulation,QA 76.63 R25 2016 c1
14,08/22/17,9781539490197,"Rawen, Marc",Programming: Learn the Fundamentals of Computer Programming Languages,2nd,,118,CreateSpace,United States,2017,BSCS,Circulation,QA 76.63 R25 2016 c2
15,08/22/17,9781539490197,"Rawen, Marc",Programming: Learn the Fundamentals of Computer Programming Languages,2nd,,118,CreateSpace,United States,2017,BSCS,Circulation,QA 76.63 R25 2016 c3
16,08/22/17,9781539490197,"Rawen, Marc",Programming: Learn the Fundamentals of Computer Programming Languages,2nd,,118,CreateSpace,United States,2017,BSCS,Circulation,QA 76.63 R25 2016 c4
17,08/22/17,9781285161785,"Vermaat, Misty et al.","Discovering Computers: Technology in a World of Computers, Mobile Devices, and the Internet, Essentials",,,246,Cengage Learning,United States,2014,BSCS,Circulation,QA 76.5 D57 2015 c1
18,08/22/17,9780393286007,"Rid, Thomas",Rise of the Machines: A Cybernetic History,1st,,352,"W.W. Norton & Company, Inc.",United States,2016,BSCS,Circulation,T 14.5 R53 2016 c1
19,08/22/17,9780393286007,"Rid, Thomas",Rise of the Machines: A Cybernetic History,1st,,352,"W.W. Norton & Company, Inc.",United States,2016,BSCS,Circulation,T 14.5 R53 2016 c2
20,08/22/17,9781509300013,"Esposito, Dino","Modern Web Development: Understanding domains, technologies, and user experience",,,400,Microsoft Press,United States,2016,BSCS,Circulation,TK 5105.888 E77 2016 c.1
21,08/22/17,9781509300013,"Esposito, Dino","Modern Web Development: Understanding domains, technologies, and user experience",,,400,Microsoft Press,United States,2016,BSCS,Circulation,TK 5105.888 E77 2016 c.2
22,08/22/17,9781509300013,"Esposito, Dino","Modern Web Development: Understanding domains, technologies, and user experience",,,400,Microsoft Press,United States,2016,BSCS,Circulation,TK 5105.888 E77 2016 c.3
23,08/22/17,9781509300013,"Esposito, Dino","Modern Web Development: Understanding domains, technologies, and user experience",,,400,Microsoft Press,United States,2016,BSCS,Circulation,TK 5105.888 E77 2016 c.4
24,08/22/17,9783319052892,"Li, Ze-Nian et al.",Fundamentals of Multimedia,2nd,,714,Springer,Switzerland,2014,BSCS,Circulation,QA 76.575 L5 2014 c.1
25,08/22/17,9783319052892,"Li, Ze-Nian et al.",Fundamentals of Multimedia,2nd,,714,Springer,Switzerland,2014,BSCS,Circulation,QA 76.575 L5 2014 c.2
26,08/22/17,9783319052892,"Li, Ze-Nian et al.",Fundamentals of Multimedia,2nd,,714,Springer,Switzerland,2014,BSCS,Circulation,QA 76.575 L5 2014 c.3
27,08/22/17,9783319052892,"Li, Ze-Nian et al.",Fundamentals of Multimedia,2nd,,714,Springer,Switzerland,2014,BSCS,Circulation,QA 76.575 L5 2014 c.4
28,08/22/17,9781482229394,"Marschner, Steve & Shirley, Peter",Fundamentals of Computer Graphics,4th,,699,CRC Press,United States,2016,BSCS,Circulation,T 385 S43 2016 c1
29,08/22/17,9781482229394,"Marschner, Steve & Shirley, Peter",Fundamentals of Computer Graphics,4th,,699,CRC Press,United States,2016,BSCS,Circulation,T 385 S43 2016 c2
30,08/22/17,9781482229394,"Marschner, Steve & Shirley, Peter",Fundamentals of Computer Graphics,4th,,699,CRC Press,United States,2016,BSCS,Circulation,T 385 S43 2016 c3
31,08/22/17,9781118442265,"Wasson, Charles","System Engineering Analysis, Design, and Development",2nd,,820,"John Wiley & Sons, Inc.",United States,2016,BSCS,Circulation,QA 76 S88 W37 201`6
32,08/22/17,9781452257877,"Miles, Matthew et al.",Qualitative Data Analysis: A Methods Sourcebook,3rd,,344,"SAGE Publications, Inc.",United States,2014,BSCS,Circulation,H 62 M64 2014 c1
33,08/22/17,9781452257877,"Miles, Matthew et al.",Qualitative Data Analysis: A Methods Sourcebook,3rd,,344,"SAGE Publications, Inc.",United States,2014,BSCS,Circulation,H 62 M64 2014 c1
34,08/22/17,9781439849927,"Le Boudec, Jean-Yves",Performance Evaluation of Computer and Communication Systems,1st,,344,CRC Press,United States,2010,BSCS,Circulation,Q 76.76 D47 L43 2010
35,08/22/17,9781284049190,"Neapolitan, Richard",Foundations of Algorithms,5th,,563,"Jones & Bartlett Learning, LLC",United States,2015,BSCS,Circulation,QA 9.58 N35 2015
36,08/22/17,9781498737593,"Ahmed, Ashfaque & Prasad, Bhanu",Foundations of Software Engineering,,,387,CRC Press,United States,2016,BSCS,Circulation,QA 76.758 A39 A36 2016
37,08/22/17,9781482231052,"Yadin, Aharon",Computer Systems Architecture,,,412,CRC Press,United States,2016,BSCS,Circulation,QA 76.9 A73 2016
38,08/22/17,9781256389217,"Lyons, Damian et al.",Fundamentals of Discrete Structures,2nd,,314,Pearson Learning Solutions,United States,2013,BSCS,Circulation,QA 76.9 M35 L96 2010 c1
39,08/22/17,9781256389217,"Lyons, Damian et al.",Fundamentals of Discrete Structures,2nd,,314,Pearson Learning Solutions,United States,2013,BSCS,Circulation,QA 76.9 M35 L96 2010 c2
40,08/22/17,9781256389217,"Lyons, Damian et al.",Fundamentals of Discrete Structures,2nd,,314,Pearson Learning Solutions,United States,2013,BSCS,Circulation,QA 76.9 M35 L96 2010 c3
41,08/22/17,9781442243682,"Clark, Jason",Responsive Web Design in Practice,,,126,Rowman & Littlefield,London,2015,BSCS,Circulation,TK 5105.888 C54 2015 c1
42,08/22/17,9781442243682,"Clark, Jason",Responsive Web Design in Practice,,,126,Rowman & Littlefield,London,2015,BSCS,Circulation,TK 5105.888 C54 2015 c2
43,08/22/17,9781442243682,"Clark, Jason",Responsive Web Design in Practice,,,126,Rowman & Littlefield,London,2015,BSCS,Circulation,TK 5105.888 C54 2015 c3
44,08/22/17,9781442243682,"Clark, Jason",Responsive Web Design in Practice,,,126,Rowman & Littlefield,United States,2015,BSCS,Circulation,TK 5105.888 C54 2015 c4
45,08/22/17,9781493964130,"Lee, Newton",Google It: Total Information Awareness,,,527,Springer Nature,United States,2016,BSCS,Circulation,CD-ROM ZA 4234 G64 L44 2016 c1
46,08/22/17,9781493964130,"Lee, Newton",Google It: Total Information Awareness,,,527,Springer Nature,United States,2016,BSCS,Circulation,CD-ROM ZA 4234 G64 L44 2016 c2
47,08/22/17,9781493964130,"Lee, Newton",Google It: Total Information Awareness,,,527,Springer Nature,United States,2016,BSCS,Circulation,CD-ROM ZA 4234 G64 L44 2016 c3
48,08/22/17,9781493964130,"Lee, Newton",Google It: Total Information Awareness,,,527,Springer Nature,United States,2016,BSCS,Circulation,CD-ROM ZA 4234 G64 L44 2016 c4
49,08/22/17,9780133544619,"Hoffer, Jeffrey et al.",Modern Database Management,12th,,533,Prentice Hall,United States,2016,BSCS,Circulation,QA 76.9.D3 M39 2016 c1
50,08/22/17,9780133544619,"Hoffer, Jeffrey et al.",Modern Database Management,12th,,533,Prentice Hall,United States,2016,BSCS,Circulation,QA 76.9.D3 M39 2016 c2
51,08/22/17,9780133544619,"Hoffer, Jeffrey et al.",Modern Database Management,12th,,533,Prentice Hall,United States,2016,BSCS,Circulation,QA 76.9.D3 M39 2016 c3
52,08/22/17,9780133544619,"Hoffer, Jeffrey et al.",Modern Database Management,12th,,533,Prentice Hall,United States,2016,BSCS,Circulation,QA 76.9.D3 M39 2016 c4
53,08/22/17,9780672337673,"Ray, John",Sams Teach Yourself iOS9 Application Development in 24 Hours,,,901,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,QA 76 774.167 R38 2016 c1
54,08/22/17,9780672337673,"Ray, John",Sams Teach Yourself iOS9 Application Development in 24 Hours,,,901,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,QA 76 774.167 R38 2016 c2
55,08/22/17,9780672337673,"Ray, John",Sams Teach Yourself iOS9 Application Development in 24 Hours,,,901,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,QA 76 774.167 R38 2016 c3
56,08/22/17,9780672337673,"Ray, John",Sams Teach Yourself iOS9 Application Development in 24 Hours,,,901,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,QA 76 774.167 R38 2016 c4
57,08/22/17,9780393286007,"Rid, Thomas",Rise of the Machines: A Cybernetic History,1st,,352,"W.W. Norton & Company, Inc.",United States,2016,BSCS,Circulation,T 14.5 R53 2016 c1
58,08/22/17,9780393286007,"Rid, Thomas",Rise of the Machines: A Cybernetic History,1st,,352,"W.W. Norton & Company, Inc.",United States,2016,BSCS,Circulation,T 14.5 R53 2016 c2
59,08/22/17,9781460938386,"Blower, David","Information Processing: Boolean Algebra, Classical Logic, Cellular Automata, and Probability Manipumaltions",,1,460,Third Millennium Inferencing,United States,2011,BSCS,Circulation,QA 10.3 B65 2011 v.1
60,08/22/17,9780983332428,"Mannino, Michael","Database Design, Application Development, and Administration",6th,,729,Chicago Business Press,United States,2015,BSCS,Circulation,QA 76.9 D26 M36 2015 c1
61,08/22/17,9780983332428,"Mannino, Michael","Database Design, Application Development, and Administration",6th,,729,Chicago Business Press,United States,2015,BSCS,Circulation,QA 76.9 D26 M36 2015 c2
62,08/22/17,9780136006374,"Ullman, Jeffrey & Widom, Jennifer",A First Course in Database System,3rd,,554,Prentice Hall,United States,2008,BSCS,Circulation,QA 76.9.D3 U42 2008 c1
